127.0.0.1 - - [25/Jan/2022:09:30:36 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/main.jsp HTTP/1.1" 200 19994
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/css/main.css HTTP/1.1" 200 12328
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/js/timer.js HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/js/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/logo-basic.png HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/search_btn2.png HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/slide1.jpg HTTP/1.1" 200 349165
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/slide2.jpg HTTP/1.1" 200 234013
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/slide3.jpg HTTP/1.1" 200 281345
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/slide4.jpg HTTP/1.1" 200 229931
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/DM7866-140.png HTTP/1.1" 200 461666
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/555088-010.png HTTP/1.1" 200 474162
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/M992WT.png HTTP/1.1" 200 484812
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/BY9612.png HTTP/1.1" 200 226528
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/B35309.png HTTP/1.1" 200 462988
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/M992JJ.png HTTP/1.1" 200 411279
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/DD1503-100.png HTTP/1.1" 200 340392
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/DD1503-101.png HTTP/1.1" 200 418444
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:30:37 +0900] "GET /edt/resources/img/p_img/CW5379-600.png HTTP/1.1" 200 557987
