127.0.0.1 - - [07/Feb/2022:09:41:29 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:41:29 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:53:34 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:16 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:17 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:17 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:18 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:19 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:19 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:19 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2022:09:56:19 +0900] "GET /bsproject01/bs_flex.html HTTP/1.1" 304 -
