127.0.0.1 - - [29/Mar/2022:10:16:40 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:00 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:00 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:01 +0900] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:05 +0900] "GET /mini HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/ HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/deals1.jpg HTTP/1.1" 200 477651
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/deals2.jpg HTTP/1.1" 200 470550
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/deals3.jpg HTTP/1.1" 200 472214
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:06 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/ HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/deals2.jpg HTTP/1.1" 200 470550
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/deals1.jpg HTTP/1.1" 200 477651
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/deals3.jpg HTTP/1.1" 200 472214
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:07 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:09 +0900] "GET /mini/contact HTTP/1.1" 200 10560
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:41 +0900] "GET /mini/contact HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:39:41 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:38 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:38 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:38 +0900] "GET /mini/contact HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:38 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:56 +0900] "GET /mini/contact HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:56 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:42:56 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:18 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:18 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:27 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:27 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:27 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:29 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:30 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:30 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:30 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:31 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:31 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:31 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:32 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:33 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:33 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:33 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:33 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:33 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:35 +0900] "GET /mini/contact HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:35 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:35 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:35 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:35 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/contact HTTP/1.1" 200 10916
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/contact HTTP/1.1" 200 10916
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:36 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:37 +0900] "GET /mini/contact HTTP/1.1" 200 10916
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:37 +0900] "GET /mini/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:37 +0900] "GET /mini/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:37 +0900] "GET /mini/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:37 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:43 +0900] "GET /mini/contact HTTP/1.1" 200 10896
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:43:43 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:44:04 +0900] "GET /mini/contact HTTP/1.1" 200 10929
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:44:04 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [29/Mar/2022:10:44:12 +0900] "GET /mini/contact HTTP/1.1" 200 10915
