127.0.0.1 - - [07/Apr/2022:10:41:44 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:54 +0900] "GET /ezenpj/ HTTP/1.1" 200 9683
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:54 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/deals2.jpg HTTP/1.1" 200 470550
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/deals1.jpg HTTP/1.1" 200 477651
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/deals3.jpg HTTP/1.1" 200 472214
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:55 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:56 +0900] "GET /ezenpj/util HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:56 +0900] "GET /ezenpj/login_view HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:56 +0900] "GET /ezenpj/images/btn_google_signin.png HTTP/1.1" 200 8001
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:56 +0900] "GET /ezenpj/images/naverid_login_button_short.png HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:41:56 +0900] "GET /ezenpj/images/kakao_login_large_narrow.png HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:01 +0900] "POST /ezenpj/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:01 +0900] "GET /ezenpj/product HTTP/1.1" 200 10586
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:01 +0900] "GET /ezenpj/images/1647915361820burger.jpg HTTP/1.1" 200 284665
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:01 +0900] "GET /ezenpj/images/1647915621580sushi.jpg HTTP/1.1" 200 362373
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:01 +0900] "GET /ezenpj/images/1647915131399kkochi.jpg HTTP/1.1" 200 310316
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:03 +0900] "GET /ezenpj/util HTTP/1.1" 200 9142
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:06 +0900] "GET /ezenpj/wworker HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:09 +0900] "GET /ezenpj/js/worker1.js HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:28 +0900] "GET /ezenpj/util HTTP/1.1" 200 9142
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:28 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:28 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:28 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:28 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:31 +0900] "GET /ezenpj/util HTTP/1.1" 200 9142
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:31 +0900] "GET /ezenpj/images/4.jpg HTTP/1.1" 200 296534
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:31 +0900] "GET /ezenpj/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:31 +0900] "GET /ezenpj/images/6.jpg HTTP/1.1" 200 1232728
0:0:0:0:0:0:0:1 - - [07/Apr/2022:10:42:31 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
